id,name,startTime,endTime,category
83,Czech Soccer/Czech U19 League/Fixtures 06 September/FC Banik Ostrava U19 v FC Vysocina Jihlava U19,2014-09-06 11:00:00,2014-09-06 12:54:21,soccer
84,Czech Soccer/Czech U19 League/Fixtures 06 September/FK Jablonec U19 v FK Teplice U19,2014-09-06 09:00:00,2014-09-06 10:52:06,soccer
85,Czech Soccer/Czech U21 League/Fixtures 01 September/FC Banik Ostrava U21 v SK Slavia Praha U21,2014-09-01 11:00:00,2014-09-01 12:52:46,soccer
86,Czech Soccer/Czech U21 League/Fixtures 01 September/FC Vysocina Jihlava U21 v FC Viktoria Plzen U21,2014-09-01 14:00:00,2014-09-01 15:53:09,soccer
87,Czech Soccer/Czech U21 League/Fixtures 01 September/FC Zbrojovka Brno U21 v Ceske Budejovice U21,2014-09-01 13:00:00,2014-09-01 13:12:41,soccer
88,Czech Soccer/Czech U21 League/Fixtures 01 September/FK Dukla Praha U21 v FK Mlada Boleslav U21,2014-09-01 12:00:00,2014-09-01 13:52:13,soccer
89,Czech Soccer/Gambrinus Liga/Fixtures 02 September/Teplice v Ceske Budejovice,2014-09-02 16:00:00,2014-09-02 17:49:24,soccer
90,Danish Soccer/Danish Division 1/Fixtures 04 September/Vejle v Vendsyssel FF,2014-09-04 17:00:00,2014-09-04 18:52:32,soccer
91,Danish Soccer/Danish Reserve League/Fixtures 01 September/Randers (Res) v Viborg (Res),2014-09-01 14:00:00,2014-09-01 15:51:15,soccer
92,Danish Soccer/Danish Reserve League/Fixtures 01 September/Vejle BK (Res) v Silkeborg (Res),2014-09-01 13:00:00,2014-09-01 14:45:29,soccer
93,Danish Soccer/Danish Reserve League/Fixtures 02 September/AGF (Res) v Hobro IK (Res),2014-09-02 12:00:00,2014-09-02 13:49:01,soccer
94,Danish Soccer/Danish Reserve League/Fixtures 02 September/FC Nordsj (Res) v FC Vestsjaelland (Res),2014-09-02 11:30:00,2014-09-02 13:21:12,soccer
95,Danish Soccer/Danish Reserve League/Fixtures 03 September/Odense (Res) v SonderjyskE (Res),2014-09-03 13:00:00,2014-09-03 14:44:18,soccer
96,Danish Soccer/Danish Superliga/Fixtures 01 September/Hobro v FC Vestsjaelland,2014-09-01 17:00:00,2014-09-01 18:52:40,soccer
